Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
10120,48.8637327,2.6324707,82.671,4.758,4.77,1547384553994000,236,3
10175,48.8637304,2.6324701,82.691,4.782,4.76,1547384554049000,236,3
10230,48.8637281,2.6324696,82.665,4.732,4.78,1547384554104000,236,3
10285,48.8637257,2.6324692,82.638,4.709,4.73,1547384554159000,236,3
10340,48.8637234,2.6324688,82.648,4.711,4.71,1547384554214000,236,3
10395,48.8637211,2.6324685,82.702,4.794,4.71,1547384554269000,236,3
10450,48.8637187,2.6324682,82.693,4.807,4.79,1547384554324000,236,3
10505,48.8637161,2.632468,82.653,4.931,4.81,1547384554379000,236,3
10560,48.8637136,2.6324677,82.616,4.912,4.93,1547384554434000,236,3
10615,48.8637111,2.6324674,82.583,4.925,4.91,1547384554489000,236,3
10670,48.8637087,2.6324671,82.576,4.878,4.92,1547384554544000,236,3
10725,48.8637063,2.6324667,82.601,4.941,4.88,1547384554599000,236,3
10780,48.8637037,2.6324665,82.589,5.009,4.94,1547384554654000,236,3
10835,48.8637012,2.6324664,82.582,5.04,5.01,1547384554709000,236,3
10890,48.8636986,2.6324662,82.584,5.072,5.04,1547384554764000,236,3
10945,48.8636962,2.6324662,82.651,5.163,5.07,1547384554819000,236,3
11000,48.8636936,2.6324661,82.674,5.227,5.16,1547384554874000,236,3
11055,48.8636911,2.6324657,82.676,5.155,5.23,1547384554929000,236,3
11110,48.8636886,2.6324653,82.667,5.072,5.16,1547384554984000,236,3
11165,48.863686,2.6324653,82.687,5.155,5.07,1547384555039000,236,3
11220,48.8636835,2.632465,82.716,5.24,5.15,1547384555094000,236,3
11275,48.8636809,2.6324649,82.725,5.281,5.24,1547384555149000,236,3
11330,48.8636784,2.6324649,82.733,5.178,5.28,1547384555204000,236,3
11385,48.8636759,2.6324645,82.755,5.119,5.18,1547384555259000,236,3
11440,48.8636733,2.6324647,82.765,5.182,5.12,1547384555314000,236,3
11495,48.8636708,2.6324648,82.784,5.198,5.18,1547384555369000,236,3
11550,48.8636681,2.6324648,82.801,5.313,5.2,1547384555424000,236,3
11605,48.8636652,2.6324647,82.802,5.44,5.31,1547384555479000,236,3
11660,48.8636625,2.6324647,82.785,5.444,5.44,1547384555534000,236,3
11715,48.8636597,2.6324649,82.796,5.473,5.44,1547384555589000,236,3
11770,48.863657,2.6324653,82.806,5.494,5.47,1547384555644000,236,3
11825,48.8636542,2.6324657,82.818,5.567,5.49,1547384555699000,236,3
11880,48.8636513,2.6324658,82.805,5.588,5.57,1547384555754000,236,3
11935,48.8636483,2.632466,82.779,5.65,5.59,1547384555809000,236,3
11989,48.8636453,2.6324663,82.794,5.769,5.65,1547384555863000,236,3
12044,48.8636423,2.6324667,82.788,5.877,5.77,1547384555918000,236,3
12099,48.8636393,2.6324671,82.792,5.899,5.88,1547384555973000,236,3
12154,48.8636365,2.6324673,82.797,5.829,5.9,1547384556028000,236,3
12209,48.8636335,2.6324673,82.806,5.857,5.83,1547384556083000,236,3
12264,48.8636306,2.6324673,82.837,5.906,5.86,1547384556138000,236,3
12319,48.8636276,2.6324675,82.827,5.979,5.91,1547384556193000,236,3
12374,48.8636244,2.6324676,82.813,6.056,5.98,1547384556248000,236,3
12429,48.8636214,2.6324678,82.819,6.074,6.06,1547384556303000,236,3
12484,48.8636182,2.632468,82.813,6.193,6.07,1547384556358000,236,3
12540,48.8636148,2.6324681,82.796,6.416,6.19,1547384556414000,236,3
12594,48.8636115,2.632468,82.79,6.45,6.42,1547384556468000,236,3
12649,48.8636083,2.6324678,82.776,6.401,6.45,1547384556523000,236,3
12704,48.8636051,2.6324676,82.775,6.422,6.4,1547384556578000,236,3
12760,48.8636019,2.6324676,82.752,6.411,6.42,1547384556634000,236,3
12814,48.8635987,2.6324675,82.757,6.383,6.41,1547384556688000,236,3
12869,48.8635953,2.6324673,82.729,6.49,6.38,1547384556743000,236,3
12924,48.8635919,2.6324671,82.7,6.58,6.49,1547384556798000,236,3
12980,48.8635886,2.6324671,82.727,6.681,6.58,1547384556854000,236,3
13035,48.8635853,2.632467,82.75,6.667,6.68,1547384556909000,236,3
13090,48.8635823,2.6324666,82.793,6.557,6.67,1547384556964000,236,3
13145,48.863579,2.632466,82.762,6.526,6.56,1547384557019000,236,3
13200,48.8635756,2.6324656,82.713,6.591,6.53,1547384557074000,236,3
13255,48.8635724,2.6324653,82.661,6.44,6.59,1547384557129000,236,3
13310,48.8635691,2.6324649,82.636,6.44,6.44,1547384557184000,236,3
13365,48.8635657,2.6324647,82.613,6.568,6.44,1547384557239000,236,3
13420,48.863562,2.6324646,82.566,6.724,6.57,1547384557294000,236,3
13475,48.8635583,2.6324643,82.57,6.983,6.72,1547384557349000,236,3
13530,48.8635549,2.632464,82.601,6.975,6.98,1547384557404000,236,3
13585,48.8635517,2.6324636,82.646,6.889,6.98,1547384557459000,236,3
13640,48.8635481,2.6324634,82.649,6.953,6.89,1547384557514000,236,3
13695,48.8635445,2.6324633,82.67,7.087,6.95,1547384557569000,236,3
13750,48.863541,2.6324631,82.691,7.1,7.09,1547384557624000,236,3
13805,48.8635375,2.6324628,82.692,7.104,7.1,1547384557679000,236,3
13860,48.8635341,2.6324627,82.73,7.075,7.1,1547384557734000,236,3
13915,48.8635305,2.6324625,82.759,7.168,7.08,1547384557789000,236,3
13970,48.8635271,2.6324621,82.767,7.12,7.17,1547384557844000,236,3
14024,48.8635237,2.6324618,82.784,6.998,7.12,1547384557898000,236,3
14079,48.8635203,2.6324616,82.759,6.939,7,1547384557953000,236,3
14134,48.8635169,2.6324612,82.804,7.01,6.94,1547384558008000,236,3
14189,48.8635131,2.6324609,82.757,7.106,7.01,1547384558063000,236,3
14244,48.8635094,2.6324606,82.725,7.197,7.11,1547384558118000,236,3
14299,48.8635058,2.6324602,82.706,7.152,7.2,1547384558173000,236,3
14354,48.8635023,2.6324597,82.714,7.151,7.15,1547384558228000,236,3
14409,48.8634986,2.6324593,82.69,7.211,7.15,1547384558283000,236,3
14464,48.8634949,2.6324588,82.629,7.171,7.21,1547384558338000,236,3
14519,48.8634915,2.6324582,82.633,7.137,7.17,1547384558393000,236,3
14575,48.8634879,2.6324577,82.636,7.212,7.14,1547384558449000,236,3
14629,48.8634842,2.6324573,82.606,7.24,7.21,1547384558503000,236,3
14684,48.8634805,2.6324567,82.601,7.316,7.24,1547384558558000,236,3
14739,48.8634767,2.6324562,82.605,7.434,7.32,1547384558613000,236,3
14795,48.8634728,2.6324558,82.594,7.578,7.43,1547384558669000,236,3
14849,48.863469,2.6324555,82.581,7.575,7.58,1547384558723000,236,3
14904,48.8634654,2.6324552,82.584,7.477,7.58,1547384558778000,236,3
14959,48.8634617,2.6324548,82.582,7.473,7.48,1547384558833000,236,3
15015,48.8634578,2.6324545,82.57,7.576,7.47,1547384558889000,236,3
15070,48.8634542,2.6324543,82.597,7.547,7.58,1547384558944000,236,3
15125,48.8634504,2.6324539,82.605,7.574,7.55,1547384558999000,236,3
15180,48.8634463,2.6324533,82.585,7.76,7.57,1547384559054000,236,3
15235,48.8634423,2.6324531,82.595,7.843,7.76,1547384559109000,236,3
15290,48.8634385,2.6324529,82.615,7.804,7.84,1547384559164000,236,3
15345,48.8634348,2.632453,82.646,7.711,7.8,1547384559219000,236,3
15400,48.8634311,2.6324529,82.667,7.63,7.71,1547384559274000,236,3
15455,48.8634271,2.6324528,82.658,7.718,7.63,1547384559329000,236,3
15510,48.8634232,2.6324526,82.692,7.825,7.72,1547384559384000,236,3
15565,48.8634193,2.6324524,82.696,7.812,7.83,1547384559439000,236,3
15620,48.8634155,2.6324524,82.719,7.818,7.81,1547384559494000,236,3
15675,48.8634117,2.6324523,82.76,7.788,7.82,1547384559549000,236,3
15730,48.863408,2.6324525,82.809,7.801,7.79,1547384559604000,236,3
15785,48.8634042,2.6324531,82.845,7.812,7.8,1547384559659000,236,3
15840,48.8634007,2.6324539,82.862,7.592,7.81,1547384559714000,236,3
15895,48.8633972,2.6324545,82.857,7.302,7.59,1547384559769000,236,3
15950,48.8633936,2.6324548,82.851,7.248,7.3,1547384559824000,236,3
16005,48.8633899,2.6324548,82.867,7.331,7.25,1547384559879000,236,3
16060,48.8633861,2.6324549,82.896,7.467,7.33,1547384559934000,236,3
16115,48.8633823,2.6324553,82.931,7.575,7.47,1547384559989000,236,3
16170,48.8633784,2.6324557,82.943,7.685,7.58,1547384560044000,236,3
16225,48.8633743,2.6324559,82.905,7.74,7.69,1547384560099000,236,3
16280,48.8633705,2.6324562,82.901,7.717,7.74,1547384560154000,236,3
16335,48.8633665,2.6324565,82.886,7.781,7.72,1547384560209000,236,3
16390,48.8633625,2.6324566,82.865,7.857,7.78,1547384560264000,236,3
16445,48.8633585,2.6324569,82.858,7.943,7.86,1547384560319000,236,3
16500,48.8633546,2.632457,82.865,7.921,7.94,1547384560374000,236,3
16555,48.8633506,2.6324572,82.865,7.963,7.92,1547384560429000,236,3
16610,48.8633467,2.6324573,82.85,7.926,7.96,1547384560484000,236,3
16665,48.8633424,2.6324574,82.802,8.056,7.93,1547384560539000,236,3
16720,48.8633382,2.6324572,82.791,8.143,8.06,1547384560594000,236,3
16775,48.8633341,2.632457,82.849,8.255,8.14,1547384560649000,236,3
16830,48.8633302,2.6324569,82.861,8.185,8.26,1547384560704000,236,3
16885,48.863326,2.6324568,82.841,8.178,8.19,1547384560759000,236,3
16940,48.8633218,2.6324568,82.854,8.204,8.18,1547384560814000,236,3
16994,48.8633178,2.6324567,82.836,8.163,8.2,1547384560868000,236,3
17049,48.8633135,2.6324565,82.809,8.238,8.16,1547384560923000,236,3
17104,48.8633094,2.6324565,82.816,8.301,8.24,1547384560978000,236,3
17159,48.8633051,2.6324567,82.792,8.34,8.3,1547384561033000,236,3
17214,48.8633009,2.6324571,82.789,8.391,8.34,1547384561088000,236,3
17269,48.8632969,2.6324572,82.809,8.354,8.39,1547384561143000,236,3
17324,48.8632926,2.632457,82.821,8.485,8.35,1547384561198000,236,3
17379,48.8632884,2.6324568,82.836,8.505,8.49,1547384561253000,236,3
17434,48.8632843,2.6324568,82.819,8.395,8.5,1547384561308000,236,3
17489,48.8632801,2.6324569,82.817,8.418,8.39,1547384561363000,236,3
17545,48.8632759,2.6324567,82.832,8.445,8.42,1547384561419000,236,3
17599,48.8632719,2.6324563,82.852,8.392,8.45,1547384561473000,236,3
17654,48.8632676,2.6324563,82.833,8.424,8.39,1547384561528000,236,3
17709,48.8632631,2.6324563,82.799,8.568,8.42,1547384561583000,236,3
17765,48.8632589,2.632456,82.79,8.564,8.57,1547384561639000,236,3
17819,48.8632546,2.6324558,82.787,8.635,8.56,1547384561693000,236,3
17874,48.8632502,2.6324556,82.761,8.623,8.64,1547384561748000,236,3
17929,48.8632459,2.6324556,82.754,8.671,8.62,1547384561803000,236,3
17985,48.8632414,2.6324556,82.757,8.77,8.67,1547384561859000,236,3
18040,48.8632371,2.6324557,82.747,8.758,8.77,1547384561914000,236,3
18095,48.8632327,2.6324557,82.751,8.785,8.76,1547384561969000,236,3
18150,48.8632284,2.6324556,82.772,8.842,8.79,1547384562024000,236,3
18205,48.863224,2.6324556,82.789,8.86,8.84,1547384562079000,236,3
18260,48.8632195,2.6324556,82.779,8.976,8.86,1547384562134000,236,3
18315,48.863215,2.6324558,82.768,8.989,8.98,1547384562189000,236,3
18370,48.8632105,2.632456,82.755,8.97,8.99,1547384562244000,236,3
18425,48.863206,2.6324562,82.758,8.99,8.97,1547384562299000,236,3
18480,48.8632014,2.6324566,82.753,9.029,8.99,1547384562354000,236,3
18535,48.8631969,2.6324569,82.748,9.049,9.03,1547384562409000,236,3
18590,48.8631923,2.6324573,82.76,9.16,9.05,1547384562464000,236,3
18645,48.8631877,2.6324576,82.785,9.314,9.16,1547384562519000,236,3
18700,48.8631832,2.6324577,82.797,9.242,9.31,1547384562574000,236,3
18755,48.8631787,2.6324579,82.814,9.156,9.24,1547384562629000,236,3
18810,48.863174,2.6324582,82.822,9.269,9.16,1547384562684000,236,3
18865,48.8631692,2.6324585,82.786,9.313,9.27,1547384562739000,236,3
18920,48.8631646,2.6324587,82.791,9.322,9.31,1547384562794000,236,3
18975,48.86316,2.632459,82.782,9.331,9.32,1547384562849000,236,3
19030,48.8631552,2.6324592,82.783,9.424,9.33,1547384562904000,236,3
19085,48.8631506,2.6324591,82.79,9.398,9.42,1547384562959000,236,3
19140,48.8631459,2.6324592,82.781,9.433,9.4,1547384563014000,236,3
19195,48.8631412,2.6324593,82.759,9.362,9.43,1547384563069000,236,3
19250,48.8631365,2.6324593,82.744,9.398,9.36,1547384563124000,236,3
19305,48.8631319,2.6324594,82.743,9.362,9.4,1547384563179000,236,3
19360,48.8631273,2.6324596,82.726,9.309,9.36,1547384563234000,236,3
19415,48.8631226,2.63246,82.696,9.32,9.31,1547384563289000,236,3
19470,48.8631179,2.6324605,82.666,9.335,9.32,1547384563344000,236,3
19525,48.8631133,2.6324604,82.675,9.324,9.33,1547384563399000,236,3
19580,48.8631088,2.6324601,82.714,9.285,9.32,1547384563454000,236,3
19635,48.8631044,2.63246,82.777,9.262,9.29,1547384563509000,236,3
